iter	RMSE
0	1666.477215
1	1591.219315
2	1520.858421
3	1454.731072
4	1389.889351
5	1330.607682
6	1272.329749
7	1218.637237
8	1168.415866
9	1120.448995
10	1073.65453
11	1031.333937
12	991.1135526
13	952.5445587
14	915.3165011
15	879.513457
16	844.8353902
17	814.0169158
18	784.0411533
19	757.0591955
20	730.2866194
21	706.2624767
22	683.0530441
23	660.5160673
24	638.8296311
25	619.0296805
26	598.8391207
27	579.6476775
28	561.1173287
29	543.0910383
30	526.2910642
31	511.5138038
32	496.2285234
33	484.3198322
34	471.7474447
35	457.8482395
36	444.8009764
37	433.7477146
38	422.4080059
39	410.9072548
40	400.2494946
41	391.7184802
42	383.7181419
43	374.9823812
44	366.0114117
45	359.2067381
46	352.536711
47	345.6274243
48	339.2256678
49	332.9661573
50	327.3303042
51	322.6111684
52	317.447562
53	313.0931773
54	308.503398
55	302.0650997
56	297.554535
57	293.4236236
58	289.765864
59	284.051415
60	281.1386786
61	278.0067922
62	274.8742547
63	271.3423163
64	268.6304785
65	264.6939343
66	261.2382318
67	259.0926197
68	256.874173
69	255.0149791
70	252.5335233
71	250.3521576
72	248.2969783
73	246.1078955
74	244.055394
75	241.2593106
76	239.0662715
77	237.3710619
78	235.6859748
79	233.6997147
80	231.0317669
81	229.6900736
82	227.4878536
83	225.8711641
84	224.2324558
85	222.1531545
86	220.0385
87	218.8821046
88	217.7955596
89	215.535232
90	213.9421892
91	212.4042282
92	211.5198454
93	209.7405561
94	208.8720085
95	207.1899327
96	205.3698187
97	204.4348366
98	202.9383461
99	201.9087866
100	201.1049097
101	199.0143453
102	197.7767516
103	196.7106414
104	195.7173167
105	195.236889
106	194.4487319
107	193.8997273
108	193.1099567
109	191.5849167
110	190.4588668
111	189.350935
112	187.3403349
113	186.7582289
114	185.8626475
115	184.2554788
116	182.7603195
117	181.9909528
118	181.4621582
119	180.8268118
120	180.3114004
121	179.7949781
122	178.9048388
123	178.4615772
124	177.6327286
125	177.1646641
126	175.7891238
127	174.7948607
128	173.9893632
129	173.2467528
130	172.8925537
131	172.3486186
132	171.019188
133	169.9303443
134	168.6486177
135	168.1917775
136	166.9016646
137	166.319038
138	165.6609709
139	165.2983688
140	165.0087124
141	164.4868752
142	164.3621019
143	163.9413139
144	163.4850284
145	163.2974452
146	162.5091909
147	161.6889227
148	161.1360756
149	160.7941992
150	159.6461981
151	158.724104
152	157.8043745
153	157.0499973
154	156.4437693
155	155.9761517
156	155.2929122
157	154.9097941
158	154.6752861
159	154.1283895
160	153.7513053
161	152.855578
162	152.6508106
163	152.0380388
164	151.2657695
165	150.7351731
166	149.7433354
167	149.2797461
168	148.4639035
169	148.103625
170	147.5309588
171	147.3006193
172	146.2750005
173	145.997305
174	145.5707836
175	145.3337645
176	144.7493127
177	144.3715785
178	143.7242538
179	143.4222725
180	142.3867775
181	141.9086527
182	141.3798527
183	141.0915136
184	140.8260383
185	140.2022719
186	139.8981923
187	139.3116073
188	138.9205736
189	138.4553843
190	138.3062666
191	138.0408434
192	137.2771467
